prédikunarstólinn,    ˈpʰrɛːtɪkʏnarstouːlɪn
prédikunarstóllinn,   ˈpʰrɛːtɪkʏnarstoutlɪn
skemmtidagskrá,       ˈscɛm̥tɪtaxskrau
a,                    ˈaː
abbadísin,            ˈapatiːsɪn
abbast,               ˈapast
adam,                 ˈaːtam
adams,                ˈaːtams
adda,                 ˈata
addi,                 ˈatɪ
adolf,                ˈaːtɔlv
adolfs,               ˈaːtɔls
adolfsson,            ˈaːtɔlfsɔːn
adrenalín,            ˈaːtrɛnaliːn
adrenalínpenna,       ˈaːtrɛnalinpʰɛna
af,                   ˈaːv
afa,                  ˈaːva
afar,                 ˈaːvar
afarkosti,            ˈaːvarkʰɔstɪ
afarnir,              ˈaːvartnɪr
afbakar,              ˈavpakar
afber,                ˈavpɛr
afbera,               ˈavpɛra
afborgana,            ˈavpɔrkana
afborganir,           ˈavpɔrkanɪr
afborgun,             ˈavpɔrkʏn
afborgunum,           ˈavpɔrkʏnʏm
afborið,              ˈavpɔrɪð
afbragð,              ˈavpraɣð
afbragðs,             ˈavpraɣðs
afbragðsfólk,         ˈavpraɣðsfoul̥k
afbrigði,             ˈavprɪɣðɪ
afbrigðilegrar,       ˈavprɪɣðɪlɛɣrar
afbrigðilegt,         ˈavprɪɣðɪlɛxt
afbrigðum,            ˈavprɪɣðʏm
afbrot,               ˈavprɔt
afbrota,              ˈavprɔta
afbrotamenn,          ˈavprɔtamɛn
afbrotum,             ˈavprɔtʏm
afbrýði,              ˈavpriðɪ
afbrýðin,             ˈavpriðɪn
afbrýðisemi,          ˈavpriðɪsɛːmɪ
afbrýðisemin,         ˈavpriðɪsɛːmɪn
afbrýðisöm,           ˈavpriðɪsœːm
afburða,              ˈavpʏrða
afburðahestur,        ˈavpʏrðahɛstʏr
afdrep,               ˈavtrɛp
afdrepinu,            ˈavtrɛpɪnʏ
afdrepið,             ˈavtrɛpɪð
afdrif,               ˈavtrɪv
afdrifarík,           ˈavtrɪvariːk
afdrifaríkar,         ˈavtrɪvariːkar
afdrifum,             ˈavtrɪvʏm
afdráttarlaus,        ˈavtrauhtarlœiːs
afdráttarlaust,       ˈavtrauhtarlœist
affalla,              ˈafatla
affalls,              ˈafals
afferma,              ˈafɛrma
affermingu,           ˈafɛrmiŋkʏ
afföll,               ˈafœtl̥
afföllin,             ˈafœtlɪn
afgamalli,            ˈavkamatlɪ
afgana,               ˈavkana
afganar,              ˈavkanar
afgang,               ˈavkauŋk
afgangateppi,         ˈavkauŋkatʰɛhpɪ
afgangi,              ˈavkauɲcɪ
afganginn,            ˈavkauɲcɪn
afganginum,           ˈavkauɲcɪnʏm
afgangur,             ˈavkauŋkʏr
afgangurinn,          ˈavkauŋkʏrɪn
afganistan,           ˈavkanɪstan
afganistans,          ˈavkanɪstans
afganska,             ˈavkanska
afganskra,            ˈavkanskra
afgerandi,            ˈavcɛrantɪ
afgirt,               ˈavcɪr̥t
afglöp,               ˈavklœp
afgreidd,             ˈavkreit
afgreiddar,           ˈavkreitar
afgreiddi,            ˈavkreitɪ
afgreitt,             ˈavkreiht
afgreiða,             ˈavkreiða
afgreiði,             ˈavkreiðɪ
afgreiðsla,           ˈavkreiðstla
afgreiðslu,           ˈavkreiðstlʏ
afgreiðsluborð,       ˈavkreiðstlʏpɔrð
afgreiðslugjöld,      ˈavkreiðstlʏcœlt
afgreiðslukerfi,      ˈavkreiðstlʏcʰɛrvɪ
afgreiðslukonan,      ˈavkreiðstlʏkʰɔːnan
afgreiðsluna,         ˈavkreiðstlʏna
afgreiðslunefnd,      ˈavkreiðstlʏnɛmt
afgreiðslunni,        ˈavkreiðstlʏnɪ
afgreiðslustelpan,    ˈavkreiðstlʏstɛl̥pan
afgreiðslustúlka,     ˈavkreiðstlʏstul̥ka
afgreiðslustúlkan,    ˈavkreiðstlʏstul̥kan
afgreiðslutíma,       ˈavkreiðstlʏtʰiːma
afgreiðslutími,       ˈavkreiðstlʏtʰiːmɪ
afgönsku,             ˈavkœnskʏ
afhenda,              ˈaːvhɛnta
afhending,            ˈaːvhɛntiŋk
afhendingar,          ˈaːvhɛntiŋkar
afhendingartími,      ˈaːvhɛntiŋkartʰiːmɪ
afhendingu,           ˈaːvhɛntiŋkʏ
afhendir,             ˈaːvhɛntɪr
afhent,               ˈaːvhɛn̥t
afhenta,              ˈaːvhɛn̥ta
afhentan,             ˈaːvhɛn̥tan
afhentar,             ˈaːvhɛn̥tar
afhenti,              ˈaːvhɛn̥tɪ
afhentir,             ˈaːvhɛn̥tɪr
afhentu,              ˈaːvhɛn̥tʏ
afhentum,             ˈaːvhɛn̥tʏm
afhentur,             ˈaːvhɛn̥tʏr
afhjúpa,              ˈafçupa
afhjúpar,             ˈafçupar
afhjúpað,             ˈafçupað
afhjúpaði,            ˈafçupaðɪ
afhjúpaður,           ˈafçupaðʏr
afhjúpun,             ˈafçupʏn
afhjúpuð,             ˈafçupʏð
afhomma,              ˈaːfhɔma
afhroð,               ˈafr̥ɔð
afhuga,               ˈaːfhʏɣa
afhöggvinn,           ˈaːfhœkvɪn
afi,                  ˈaːvɪ
afkastagetu,          ˈavkʰastacɛːtʏ
afkastamesta,         ˈavkʰastamɛsta
afkastamikill,        ˈavkʰastamɪcɪtl̥
afkastar,             ˈavkʰastar
afkima,               ˈavcʰɪma
afklæddi,             ˈavkʰlaitɪ
afklæddist,           ˈavkʰlaitɪst
afklæðast,            ˈavkʰlaiðast
afkoma,               ˈavkʰɔma
afkoman,              ˈavkʰɔman
afkomandi,            ˈavkʰɔmantɪ
afkomenda,            ˈavkʰɔmɛnta
afkomendum,           ˈavkʰɔmɛntʏm
afkomendur,           ˈavkʰɔmɛntʏr
afkomu,               ˈavkʰɔmʏ
afkomukreppu,         ˈavkʰɔmʏkʰrɛhpʏ
afkomuna,             ˈavkʰɔmʏna
afkomutölur,          ˈavkʰɔmʏtʰœːlʏr
afkomuviðvörun,       ˈavkʰɔmʏvɪðvœrʏn
afkróuð,              ˈavkʰrouʏð
afkvæmarannsókn,      ˈavkʰvaimaransouhkn̥
afkvæmi,              ˈavkʰvaimɪ
afkvæmin,             ˈavkʰvaimɪn
afkvæminu,            ˈavkʰvaimɪnʏ
afkvæmum,             ˈavkʰvaimʏm
afkáralega,           ˈavkʰauralɛɣa
afkáralegum,          ˈavkʰauralɛɣʏm
afköst,               ˈavkʰœst
afköstin,             ˈavkʰœstɪn
afköstum,             ˈavkʰœstʏm
afl,                  ˈapl̥
afla,                 ˈapla
aflabrögð,            ˈaplaprœɣð
aflaga,               ˈavlaɣa
aflagranda,           ˈaplakranta
aflagrandi,           ˈaplakrantɪ
aflaheimilda,         ˈaplaheimɪlta
aflaheimildir,        ˈaplaheimɪltɪr
aflaheimildum,        ˈaplaheimɪltʏm
aflahlutdeild,        ˈaplal̥ʏːteilt
aflahlutdeilda,       ˈaplal̥ʏːteilta
aflahlutdeildar,      ˈaplal̥ʏːteiltar
aflahlutdeildir,      ˈaplal̥ʏːteiltɪr
aflahlutdeildum,      ˈaplal̥ʏːteiltʏm
aflamark,             ˈaplamar̥k
aflamarki,            ˈaplamar̥cɪ
aflamarks,            ˈaplamar̥ks
aflamarksbátum,       ˈaplamar̥kspauːtʏm
aflamarkskerfi,       ˈaplamar̥kscʰɛrvɪ
aflamarkskerfið,      ˈaplamar̥kscʰɛrvɪð
aflann,               ˈaplan
aflans,               ˈaplans
aflanum,              ˈaplanʏm
aflar,                ˈaplar
aflaskipinu,          ˈaplascɪːpɪnʏ
aflaskýrslu,          ˈaplascistlʏ
aflausn,              ˈavlœistn̥
aflaverðmæti,         ˈaplavɛrðmaitɪ
aflað,                ˈaplað
aflaði,               ˈaplaðɪ
afleggjara,           ˈavlɛcara
afleggjaranum,        ˈavlɛcaranʏm
afleidd,              ˈavleit
afleit,               ˈavleit
afleitar,             ˈavleitar
afleitt,              ˈavleiht
afleiða,              ˈavleiða
afleiðing,            ˈavleiðiŋk
afleiðinga,           ˈavleiðiŋka
afleiðingar,          ˈavleiðiŋkar
afleiðingarnar,       ˈavleiðiŋkartnar
afleiðingin,          ˈavleiðiɲcɪn
afleiðingum,          ˈavleiðiŋkʏm
afleiðingunum,        ˈavleiðiŋkɔnʏm
aflestrar,            ˈavlɛstrar
aflhnefa,             ˈapln̥ɛva
aflhnefi,             ˈapln̥ɛvɪ
afli,                 ˈaplɪ
aflinn,               ˈaplɪn
aflið,                ˈaplɪð
aflmeiri,             ˈaplmeirɪ
aflmiklar,            ˈaplmɪhklar
afloknu,              ˈavlɔhknʏ
afloknum,             ˈavlɔhknʏm
afls,                 ˈapl̥s
aflspennar,           ˈapl̥spɛnar
aflstýri,             ˈabl̥stirɪ
afláts,               ˈavlauts
aflétt,               ˈavljɛht
aflétta,              ˈavljɛhta
aflíðandi,            ˈavliðantɪ
aflóga,               ˈavloua
aflögu,               ˈavlœɣʏ
aflögð,               ˈavlœɣð
aflögðu,              ˈavlœɣðʏ
aflýsa,               ˈavlisa
aflýst,               ˈavlist
afmarka,              ˈavmar̥ka
afmarkast,            ˈavmar̥kast
afmarkað,             ˈavmar̥kað
afmarkaða,            ˈavmar̥kaða
afmyndað,             ˈavmɪntað
afmyndaðist,          ˈavmɪntaðɪst
afmá,                 ˈavmau
afmáir,               ˈavmauɪr
afmæli,               ˈamailɪ
afmælinu,             ˈamailɪnʏ
afmælis,              ˈamailɪs
afmælisbarninu,       ˈamailɪspartnɪnʏ
afmælisbarnið,        ˈamailɪspartnɪð
afmælisbarns,         ˈamailɪspar̥s
afmælisdag,           ˈamailɪstaːɣ
afmælisdaginn,        ˈamailɪstaijɪn
afmælisdagurinn,      ˈamailɪstaːɣʏrɪn
afmælisdegi,          ˈamailɪsteiːjɪ
afmælisfréttir,       ˈamailɪsfrjɛhtɪr
afmælisgesta,         ˈamailɪscɛst
afmælisgjöf,          ˈamailɪscœːv
afmælisgreina,        ˈamailɪskreiːna
afmælishátíð,         ˈamailɪshauːtʰið
afmælisins,           ˈamailɪsɪns
afmæliskveðjur,       ˈamailɪskvɛðjʏr
afmælispartí,         ˈamailɪspar̥ti
afmælissamkomu,       ˈamailɪsamkʰɔmʏ
afmælissönginn,       ˈamailɪsœiɲcɪn
afmælissöngnum,       ˈamailɪsœiŋknʏm
afmælistilkynningum,  ˈamailɪstɪlcʰɪniŋkʏm
afmælisveislan,       ˈamailɪsveistlan
afmælisveislu,        ˈamailɪsveistlʏ
afmælið,              ˈamailɪð
afmælum,              ˈamailʏm
afmörkun,             ˈavmœr̥kʏn
afmörkuð,             ˈavmœr̥kʏð
afmörkuðu,            ˈavmœr̥kʏðʏ
afmörkuðum,           ˈavmœr̥kʏðʏm
afneita,              ˈavneita
afneitað,             ˈavneitað
afneitun,             ˈavneitʏn
afnema,               ˈavnɛma
afnot,                ˈavnɔt
afnota,               ˈavnɔta
afnotagjald,          ˈavnɔtacalt
afnotagjöld,          ˈavnɔtacœlt
afnotaleyfi,          ˈavnɔtaleiːvɪ
afnotarétt,           ˈavnɔtarjɛht
afnotum,              ˈavnɔtʏm
afnumin,              ˈavnʏmɪn
afnumið,              ˈavnʏmɪð
afnám,                ˈavnaum
afnámi,               ˈavnaumɪ
afnáms,               ˈavnaums
afoxun,               ˈaːfɔksʏn
afplána,              ˈavplauna
afplánun,             ˈavplaunʏn
afrakstur,            ˈavrakstʏr
afraksturinn,         ˈavrakstʏrɪn
afrek,                ˈavrɛk
afreka,               ˈavrɛka
afrekað,              ˈavrɛkað
afreki,               ˈavrɛcɪ
afreksbikar,          ˈavrɛxspɪːkar
afrekshópi,           ˈavrɛxshouːpɪ
afreksmaður,          ˈavrɛxsmaːðʏr
afreksstig,           ˈavrɛxstɪːɣ
afrekum,              ˈavrɛkʏm
afrifu,               ˈavrɪvʏ
afrit,                ˈavrɪt
afrita,               ˈavrɪta
afritið,              ˈavrɪtɪð
afritunar,            ˈavrɪtʏnar
afritunarhnappinn,    ˈavrɪtʏnarn̥ahpɪn
afráðið,              ˈavrauðɪð
afréttarlöndin,       ˈavrjɛhtarlœntɪn
afrétti,              ˈavrjɛhtɪ
afréð,                ˈavrjɛð
afréðu,               ˈavrjɛðʏ
afréðum,              ˈavrjɛðʏm
afríka,               ˈaːfrika
afríkans,             ˈaːfrikans
afríku,               ˈaːfrikʏ
afríkuferð,           ˈaːfrikʏfɛrð
afríkumann,           ˈaːfrikʏman
afríkumanninum,       ˈaːfrikʏmanɪnʏm
afríkumaðurinn,       ˈaːfrikʏmaːðʏrɪn
afríkumenn,           ˈaːfrikʏmɛn
afríkuríkjum,         ˈaːfrikʏriːcʏm
afríkuverkefnisins,   ˈaːfrikʏvɛr̥kɛpnɪsɪns
afríska,              ˈaːfriska
afrískir,             ˈaːfriscɪr
afrískum,             ˈaːfriskʏm
afsagnar,             ˈafsaknar
afsaka,               ˈafsaka
afsakanirnar,         ˈafsakanɪrtnar
afsakaðan,            ˈafsakaðan
afsakið,              ˈafsacɪð
afsal,                ˈafsal
afsala,               ˈafsala
afsalað,              ˈafsalað
afsals,               ˈafsals
afsanna,              ˈafsana
afskaplega,           ˈafskaplɛɣa
afskekkt,             ˈafscɛxt
afskekkta,            ˈafscɛxta
afskekktan,           ˈafscɛxtan
afskekktu,            ˈafscɛxtʏ
afskekktum,           ˈafscɛxtʏm
afskipta,             ˈafscɪfta
afskiptalaus,         ˈafscɪftalœis
afskiptalausa,        ˈafscɪftalœiːsa
afskiptaleysi,        ˈafscɪftaleiːsɪ
afskiptasemi,         ˈafscɪftasɛːmɪ
afskipti,             ˈafscɪftɪ
afskiptum,            ˈafscɪftʏm
afskrifa,             ˈafskrɪva
afskrifta,            ˈavskrɪfta
afskriftareikning,    ˈavskrɪftareihkniŋk
afskriftir,           ˈafskrɪftɪr
afskrá,               ˈafskrau
afskræmt,             ˈafskraim̥t
afslappað,            ˈafstlahpað
afslappaður,          ˈafstlahpaðʏr
afslátt,              ˈafstlauht
afsláttar,            ˈafstlauhtar
afsláttur,            ˈafstlauhtʏr
afslætti,             ˈafstlaihtɪ
afslöppuð,            ˈafstlœhpʏð
afsprengi,            ˈafspreiɲcɪ
afspurn,              ˈafspʏrtn̥
afstaða,              ˈafstaða
afstaðan,             ˈafstaðan
afstaðin,             ˈafstaðɪn
afstaðið,             ˈafstaðɪð
afstætt,              ˈafstaiht
afstæður,             ˈafstaiðʏr
afstöðu,              ˈafstœðʏ
afstöðubreytingu,     ˈafstœðʏpreiːtiŋkʏ
afstýra,              ˈafstira
afstýrt,              ˈafstir̥t
afsíðis,              ˈafsiðɪs
afsögn,               ˈafsœkn̥
afsökun,              ˈafsœkʏn
afsökunar,            ˈafsœkʏnar
afsökunarbeiðni,      ˈafsœkʏnarpeiðnɪ
aftakan,              ˈaftʰakan
aftan,                ˈaftan
